dx, dy, freq
16, 11, 38,
16, 12, 32,
16, 13, 34,
16, 14, 26,
16, 15, 18,
16, 16, 16,
16, 17, 14,
16, 18, 8,
16, 19, 8,
16, 20, 8,
16, 21, 6,
16, 22, 6,
16, 23, 2,
17, -21, 2,
17, -20, 2,
17, -19, 10,
17, -18, 8,
17, -17, 12,
17, -16, 14,
17, -15, 24,
17, -14, 28,
17, -13, 18,
17, -12, 30,
17, -11, 42,
17, -10, 34,
17, -9, 44,
17, -8, 46,
17, -7, 56,
17, -6, 46,
17, -5, 38,
17, -4, 46,
17, -3, 60,
17, -2, 70,
17, -1, 70,
17, 1, 70,
17, 2, 70,
17, 3, 60,
17, 4, 46,
17, 5, 38,
17, 6, 46,
17, 7, 56,
17, 8, 46,
17, 9, 44,
17, 10, 34,
17, 11, 42,
17, 12, 30,
17, 13, 18,
17, 14, 28,
17, 15, 24,
17, 16, 14,
17, 17, 12,
17, 18, 8,
17, 19, 10,
17, 20, 2,
17, 21, 2,
18, -22, 2,
18, -21, 14,
18, -20, 4,
18, -19, 2,
18, -18, 4,
18, -17, 8,
18, -16, 8,
18, -15, 14,
18, -14, 12,
18, -13, 28,
18, -12, 34,
18, -11, 26,
18, -10, 26,
18, -9, 40,
18, -8, 44,
18, -7, 38,
18, -6, 38,
18, -5, 60,
18, -4, 46,
18, -3, 48,
18, -2, 48,
18, -1, 56,
18, 1, 56,
18, 2, 48,
18, 3, 48,
18, 4, 46,
18, 5, 60,
18, 6, 38,
18, 7, 38,
18, 8, 44,
18, 9, 40,
18, 10, 26,
18, 11, 26,
18, 12, 34,
18, 13, 28,
18, 14, 12,
18, 15, 14,
18, 16, 8,
18, 17, 8,
18, 18, 4,
18, 19, 2,
18, 20, 4,
18, 21, 14,
18, 22, 2,
19, -21, 2,
19, -19, 4,
19, -18, 2,
19, -17, 10,
19, -16, 8,
19, -15, 16,
19, -14, 20,
19, -13, 22,
19, -12, 22,
19, -11, 28,
19, -10, 26,
19, -9, 24,
19, -8, 24,
19, -7, 22,
19, -6, 46,
19, -5, 34,
19, -4, 56,
19, -3, 42,
19, -2, 40,
19, -1, 52,
19, 1, 52,
19, 2, 40,
19, 3, 42,
19, 4, 56,
19, 5, 34,
19, 6, 46,
19, 7, 22,
19, 8, 24,
19, 9, 24,
19, 10, 26,
19, 11, 28,
19, 12, 22,
19, 13, 22,
19, 14, 20,
19, 15, 16,
19, 16, 8,
19, 17, 10,
19, 18, 2,
19, 19, 4,
19, 21, 2,
20, -22, 2,
20, -21, 4,
20, -20, 4,
20, -18, 4,
20, -17, 2,
20, -16, 8,
20, -15, 18,
20, -14, 18,
20, -13, 24,
20, -12, 14,
20, -11, 14,
20, -10, 16,
20, -9, 20,
20, -8, 30,
20, -7, 38,
20, -6, 18,
20, -5, 30,
20, -4, 38,
20, -3, 38,
20, -2, 32,
20, -1, 28,
20, 1, 28,
20, 2, 32,
20, 3, 38,
20, 4, 38,
20, 5, 30,
20, 6, 18,
20, 7, 38,
20, 8, 30,
20, 9, 20,
20, 10, 16,
20, 11, 14,
20, 12, 14,
20, 13, 24,
20, 14, 18,
20, 15, 18,
20, 16, 8,
20, 17, 2,
20, 18, 4,
20, 20, 4,
20, 21, 4,
20, 22, 2,
21, -20, 4,
21, -19, 2,
21, -18, 14,
21, -17, 2,
21, -16, 6,
21, -15, 4,
21, -14, 6,
21, -13, 8,
21, -12, 18,
21, -11, 6,
21, -10, 16,
21, -9, 12,
21, -8, 14,
21, -7, 14,
21, -6, 10,
21, -5, 22,
21, -4, 40,
21, -3, 30,
21, -2, 26,
21, -1, 46,
21, 1, 46,
21, 2, 26,
21, 3, 30,
21, 4, 40,
21, 5, 22,
21, 6, 10,
21, 7, 14,
21, 8, 14,
21, 9, 12,
21, 10, 16,
21, 11, 6,
21, 12, 18,
21, 13, 8,
21, 14, 6,
21, 15, 4,
21, 16, 6,
21, 17, 2,
21, 18, 14,
21, 19, 2,
21, 20, 4,
22, -23, 2,
22, -20, 2,
22, -18, 2,
22, -16, 6,
22, -15, 12,
22, -14, 4,
